cellType,TF,nTargets,sigTargets,percSig,nUp,nDown,meanLFC_up,meanLFC_down
Mac1,ABCC9,452,83,0.1836283185840708,227,194,0.41006273681902106,-0.3798313497788198
Mac1,AEBP2,248,22,0.08870967741935484,72,91,0.5036018521352692,-0.3761671521681345
Mac1,AFF3,1660,470,0.28313253012048195,846,758,0.3972095921629527,-0.3804435720346372
Mac1,AFF4,139,48,0.34532374100719426,57,75,0.45183569262646583,-0.4280491442334917
Mac1,AHR,386,99,0.25647668393782386,200,175,0.4605610421751549,-0.42902819048028107
Mac1,AIRE,66,21,0.3181818181818182,34,31,0.42046566326819623,-0.4064520902342058
Mac1,ARNT2,8018,1818,0.22673983537041656,3986,3591,0.44439818498164974,-0.401698419952158
Mac1,ASCL1,2990,704,0.2354515050167224,1502,1335,0.4622204198515366,-0.4104963696441049
Mac1,ASCL2,1453,418,0.2876806607019959,776,662,0.3904629524247103,-0.3623655933404695
Mac1,ASH2L,1326,329,0.24811463046757165,724,566,0.40720336509171323,-0.36278306309545594
Mac1,ASXL1,3019,917,0.30374296124544553,1612,1383,0.38633452856140904,-0.38545498685136437
Mac1,ATF2,1710,491,0.28713450292397663,884,796,0.42393791467644276,-0.40175448133332553
Mac1,ATF3,6454,1863,0.2886581964673071,3406,2958,0.4694548759325801,-0.45865644758019225
Mac1,ATF4,862,245,0.2842227378190255,449,401,0.4096718504130665,-0.38841138305905293
Mac1,ATF7,709,198,0.27926657263751764,348,340,0.4365015462238831,-0.42118051975491655
Mac1,ATOH1,959,236,0.24608967674661106,489,419,0.4677921496392648,-0.4290616312414917
Mac1,ATRX,4161,1048,0.2518625330449411,2122,1885,0.4683753913122443,-0.41413669720011037
Mac1,AURKB,204,58,0.28431372549019607,108,94,0.420137771337592,-0.4406546168093267
Mac1,AUTS2,66,24,0.36363636363636365,29,36,0.3666111316300481,-0.3413271851182417
Mac1,BACH1,2068,570,0.27562862669245647,1089,934,0.4206412300600276,-0.39775868117162344
Mac1,BACH2,2187,595,0.27206218564243256,1168,989,0.41311287021787835,-0.42268830081471526
Mac1,BATF,8777,2269,0.25851657741825224,4632,4002,0.43972198473244717,-0.42026931779210036
Mac1,BATF3,1052,294,0.279467680608365,563,479,0.4266213788060324,-0.40183513966961765
Mac1,BAZ1A,3,0,0.0,2,0,0.3737411278059519,
Mac1,BAZ1B,1033,168,0.16263310745401743,472,361,0.4807423511822559,-0.3977783681156623
Mac1,BBX,157,48,0.3057324840764331,89,65,0.3671794290669834,-0.30322277687844706
Mac1,BCL6,1050,234,0.22285714285714286,543,429,0.4917686653072387,-0.42596932972018736
Mac1,BCOR,9,1,0.1111111111111111,6,2,0.4446559826461785,-1.837238964230911
Mac1,BMI1,298,20,0.06711409395973154,69,116,0.60063571613247,-0.3010150872372737
Mac1,BRCA1,1052,230,0.21863117870722434,560,445,0.44229062200707725,-0.4013730807010511
Mac1,BRD2,9587,2285,0.23834359027850213,4872,4304,0.4436108418078131,-0.40464759505030057
Mac1,BRD3,3,0,0.0,3,0,0.36155980038989854,
Mac1,BRD4,14042,2822,0.2009685230024213,6497,6192,0.4894687849622886,-0.41900179436897356
Mac1,BRD9,4184,1174,0.2805927342256214,2193,1921,0.40936514814951264,-0.41041123789740447
Mac1,BRWD1,1,1,1.0,0,1,,-0.18596095097838639
Mac1,CAPG,192,62,0.3229166666666667,96,89,0.4756617508676399,-0.35209724036285084
Mac1,CBX1,1,0,0.0,0,0,,
Mac1,CBX2,334,81,0.24251497005988024,125,143,0.4303358815654614,-0.4002839172089637
Mac1,CBX3,619,190,0.3069466882067851,310,298,0.3967229729406892,-0.3765656362643445
Mac1,CBX7,7647,1633,0.2135477965215117,3525,3395,0.4661917537158465,-0.41065468778500863
Mac1,CBX8,812,224,0.27586206896551724,406,376,0.38926856141105687,-0.4009043873217963
Mac1,CCL5,91,25,0.27472527472527475,51,39,0.3785265411635295,-0.2848328268014125
Mac1,CCNY,2540,650,0.2559055118110236,1437,1078,0.4326695204504284,-0.3788128646049315
Mac1,CDK6,5083,1380,0.27149321266968324,2697,2326,0.42694503834470526,-0.39716891468613763
Mac1,CDK7,680,192,0.2823529411764706,335,337,0.3549047937204723,-0.40561156571921764
Mac1,CDK8,706,201,0.2847025495750708,335,351,0.4274207596534821,-0.39593880881161836
Mac1,CDK9,2390,707,0.29581589958158994,1243,1122,0.3992875300578356,-0.39394319787446164
Mac1,CDX2,5791,1428,0.24658953548609913,2923,2558,0.4413575596683631,-0.3991370168631736
Mac1,CEBPA,13955,2798,0.20050161232533142,6359,5990,0.4899689914860234,-0.41600914487762003
Mac1,CEBPB,13393,2723,0.20331516463824387,6190,5826,0.48835521247163105,-0.41650733175838806
Mac1,CEBPD,881,293,0.3325766174801362,452,422,0.5059188258901454,-0.5125391008251268
Mac1,CEBPE,625,200,0.32,325,292,0.46904334940246617,-0.46465757337037394
Mac1,CEBPG,2,0,0.0,0,1,,-0.002743477484102197
Mac1,CHD1,454,126,0.2775330396475771,260,184,0.39208746198756617,-0.3738468296614866
Mac1,CHD2,340,110,0.3235294117647059,178,160,0.40330868743554465,-0.41692516687191505
Mac1,CHD4,9322,2316,0.24844453979832654,4915,4179,0.4488480376370358,-0.41934255630926703
Mac1,CHD7,3805,1136,0.2985545335085414,2015,1754,0.4041761598425762,-0.3945693849029816
Mac1,CHD8,2537,740,0.29168309026409145,1366,1145,0.37390569161812637,-0.3507015948379326
Mac1,CLOCK,5196,1319,0.25384911470361815,2779,2227,0.46243169107437176,-0.4023777793210298
Mac1,CREB1,10124,2379,0.2349861714737258,5189,4472,0.47121798291711314,-0.41829626484071114
Mac1,CRTC2,1328,384,0.2891566265060241,675,629,0.4437362111845353,-0.4366834443235171
Mac1,CRX,121,31,0.256198347107438,60,56,0.3623868766882018,-0.28407590310074543
Mac1,CTCF,15434,2801,0.18148244136322406,6630,6557,0.490544180234995,-0.40402404419472526
Mac1,CTCFL,5183,1223,0.2359637275709049,2715,2266,0.43812983154944374,-0.4087892071860547
Mac1,CTR9,108,32,0.2962962962962963,49,55,0.39310319466609805,-0.3314935944346561
Mac1,CUX2,4,1,0.25,1,2,0.5606083387807148,-0.04957166640375386
Mac1,CXXC1,3178,839,0.26400251730648205,1668,1424,0.40449902948394734,-0.3518019529219945
Mac1,CXXC5,85,29,0.3411764705882353,43,42,0.367925289300329,-0.3599980097399784
Mac1,DDIT3,2,0,0.0,1,1,0.5517131540890331,-0.17714582268183943
Mac1,DLX1,4,2,0.5,1,3,0.03794112670156924,-0.3244023558265032
Mac1,DLX2,81,22,0.2716049382716049,39,29,0.46596135690869755,-0.5104412063837043
Mac1,DLX3,160,43,0.26875,78,79,0.48819285003900237,-0.39572372448014426
Mac1,DLX5,634,174,0.2744479495268139,344,278,0.4224315985948748,-0.36408817331300425
Mac1,DMAP1,130,44,0.3384615384615385,56,71,0.2792517304929291,-0.38197197300016955
Mac1,DMC1,10201,2194,0.21507695323987844,4919,4444,0.4490049218220042,-0.3909666830397955
Mac1,DMRT1,77,17,0.22077922077922077,40,27,0.529868787256917,-0.6091200626966538
Mac1,DNMT1,4,2,0.5,3,0,0.2543583401885616,
Mac1,DPEP2,693,167,0.240981240981241,313,306,0.4353298313673091,-0.39566014826511275
Mac1,DPEP3,725,163,0.22482758620689655,354,328,0.4703683083331486,-0.3914463854150652
Mac1,DPPA2,4183,742,0.177384652163519,1980,1774,0.473611787559608,-0.4000899509243154
Mac1,DPPA4,6593,1293,0.1961170938874564,3170,2882,0.4665668826804411,-0.408268208199461
Mac1,DPY30,3145,731,0.23243243243243245,1654,1383,0.4272377132417481,-0.38053566173293496
Mac1,E2F1,5713,1561,0.2732364782075967,2938,2658,0.4176419532609107,-0.40999660195548265
Mac1,E2F3,1720,473,0.275,913,782,0.4171204224280506,-0.43599229763268166
Mac1,E2F4,3904,1089,0.27894467213114754,2036,1832,0.4083005335234458,-0.4236305320134205
Mac1,E2F6,168,32,0.19047619047619047,86,73,0.4031354060883185,-0.4818578656648527
Mac1,E4F1,7,3,0.42857142857142855,4,3,0.3015949114220198,-0.41115394405870376
Mac1,EED,138,13,0.09420289855072464,38,56,0.4998558834066764,-0.41019998365532573
Mac1,EGR1,777,231,0.2972972972972973,403,359,0.4187595056371886,-0.4231563216863138
Mac1,EGR2,2029,595,0.2932479053721045,1052,954,0.42995514030604454,-0.445542946890089
Mac1,EHF,181,40,0.22099447513812154,87,77,0.4232311312452004,-0.38494805104857693
Mac1,EHMT2,2,1,0.5,1,1,0.06675101691160368,-0.6852015599036747
Mac1,ELF1,2775,786,0.28324324324324324,1454,1299,0.39508134856483135,-0.38192114769530533
Mac1,ELF4,1247,388,0.3111467522052927,646,592,0.3788866237258002,-0.33780856508377466
Mac1,ELF5,4709,1242,0.26375026544913993,2488,2088,0.4391563910036138,-0.39581632399531025
Mac1,ELK1,27,11,0.4074074074074074,13,12,0.4704174611919407,-0.6693601548315774
Mac1,ELK4,28,9,0.32142857142857145,15,11,0.29514954788486386,-0.5438056181351244
Mac1,ELL,20,7,0.35,11,9,0.27682769623977543,-0.24100985963273183
Mac1,ELL2,145,49,0.33793103448275863,67,74,0.355688994474367,-0.452546121259566
Mac1,ELL3,120,35,0.2916666666666667,53,58,0.4760995394564682,-0.40682428393643744
Mac1,ELOB,320,111,0.346875,162,152,0.3914732790436881,-0.32026412123445236
Mac1,EOMES,7220,1639,0.22700831024930748,3667,3168,0.4570869407109654,-0.4112762936130779
Mac1,EP300,12930,2715,0.2099767981438515,6141,5748,0.48514468138437983,-0.42276043610896047
Mac1,EP400,375,133,0.3546666666666667,154,202,0.39748646818031896,-0.3816578461638567
Mac1,EPOP,7847,1744,0.22225054160825794,3734,3544,0.4453683487309495,-0.3952861462509327
Mac1,ERF,1287,396,0.3076923076923077,651,616,0.40170308568935525,-0.3832533307176018
Mac1,ERG,7230,1833,0.25352697095435683,3816,3223,0.46395440503038216,-0.4228162710529231
Mac1,ESR1,12505,2647,0.2116753298680528,6034,5556,0.4826089307346708,-0.4141461041755611
Mac1,ESR2,7916,1919,0.24242041435068215,4066,3556,0.4662316220263533,-0.4102689995635308
Mac1,ETS1,10199,2460,0.24120011765859398,5246,4641,0.4495379632675452,-0.42217775910371913
Mac1,ETS2,2798,801,0.2862759113652609,1451,1290,0.4087929952993376,-0.3961087415736012
Mac1,ETV2,10,3,0.3,6,4,0.4280623118645559,-0.3602796368150124
Mac1,ETV4,223,78,0.34977578475336324,99,122,0.4169082054751557,-0.4572079049069424
Mac1,ETV5,3960,1068,0.2696969696969697,2062,1819,0.4052640996568794,-0.37677778763976916
Mac1,ETV6,5347,1473,0.27548157845520854,2789,2474,0.4241982713571428,-0.4032428950488289
Mac1,EZH1,862,240,0.27842227378190254,414,390,0.3990477755872134,-0.39995172862676326
Mac1,EZH2,12167,2335,0.19191255034108654,5458,5269,0.478966455213891,-0.4035898049333211
Mac1,FEV,14,8,0.5714285714285714,5,9,0.16003485808235557,-0.29382170425416376
Mac1,FEZF2,530,130,0.24528301886792453,268,238,0.4569060521084014,-0.3790957373895063
Mac1,FLI1,10663,2446,0.2293913532776892,5304,4760,0.4710311285429897,-0.42901223720453674
Mac1,FLOT1,10241,2165,0.2114051362171663,5076,4499,0.46329562041612327,-0.4051625576868069
Mac1,FOS,9248,2331,0.2520544982698962,4758,4220,0.4776723258498433,-0.44879814078349284
Mac1,FOSB,261,91,0.3486590038314176,128,121,0.38428149962871944,-0.3935757247194237
Mac1,FOSL1,432,126,0.2916666666666667,195,218,0.5321042551686906,-0.4116373425131085
Mac1,FOSL2,1023,310,0.30303030303030304,498,504,0.46900148960509846,-0.4702353150012827
Mac1,FOXA1,5017,1268,0.25274068168228025,2606,2166,0.44567485043060445,-0.39757839219606816
Mac1,FOXA2,10504,2296,0.21858339680121858,5140,4631,0.46468142081088,-0.40230667510324225
Mac1,FOXA3,25,4,0.16,18,4,0.39410832571507126,-0.5174721435897676
Mac1,FOXD3,21,6,0.2857142857142857,13,6,0.535167743667618,-0.4102731024731274
Mac1,FOXF1,593,155,0.26138279932546377,302,272,0.4623207772135192,-0.3912394606626943
Mac1,FOXG1,38,8,0.21052631578947367,20,15,0.4673667793909715,-0.4180228362853772
Mac1,FOXH1,5311,1165,0.21935605347392204,2631,2348,0.46631388750858543,-0.41079145710396897
Mac1,FOXJ2,7,1,0.14285714285714285,3,3,0.14566138587235536,-0.2528596454916125
Mac1,FOXK1,240,63,0.2625,136,103,0.42006643501582946,-0.3274394302563891
Mac1,FOXL2,2309,525,0.22737115634473798,1315,938,0.44741114960542977,-0.3665463022556601
Mac1,FOXN1,3,1,0.3333333333333333,0,2,,-1.2296337358132494
Mac1,FOXO1,3674,995,0.2708219923788786,2026,1611,0.41232867082385594,-0.37505509054172026
Mac1,FOXO3,2360,607,0.2572033898305085,1317,1008,0.4303076908041583,-0.3767294254404368
Mac1,FOXP1,647,174,0.2689335394126739,365,279,0.4071150435652631,-0.3783598829658695
Mac1,FOXP3,6072,1657,0.27289196310935443,3279,2739,0.4104159824889939,-0.40499507889654496
Mac1,GABPA,1413,414,0.2929936305732484,736,665,0.3472148897649299,-0.3172767891669581
Mac1,GATA1,1760,466,0.26477272727272727,938,773,0.4461511543092962,-0.4293546959604231
Mac1,GATA2,7724,1860,0.24080787156913516,3887,3457,0.4681340121052766,-0.4069170813951954
Mac1,GATA3,7992,2055,0.25713213213213215,4107,3668,0.4318242403802428,-0.4072605818279472
Mac1,GATA4,10700,2394,0.22373831775700934,5411,4712,0.47149902502600366,-0.408125040312571
Mac1,GATA6,869,229,0.26352128883774456,450,380,0.44656149111516047,-0.41814499938096256
Mac1,GCM2,24,5,0.20833333333333334,11,12,0.3451163381517597,-0.3473768562894295
Mac1,GFI1,9473,2183,0.2304444209859601,4766,4262,0.45672940856513056,-0.41873754975415056
Mac1,GFI1B,1117,315,0.2820053715308863,571,531,0.43964270736190914,-0.42799422185713265
Mac1,GLI1,2,0,0.0,2,0,0.3558124742565101,
Mac1,GLI2,42,9,0.21428571428571427,21,18,0.3894775186290185,-0.1970701096499672
Mac1,GLI3,22,5,0.22727272727272727,16,6,0.47409461716300777,-0.11750472858173915
Mac1,GPS2,7668,1933,0.2520865936358894,3987,3345,0.46277691436245905,-0.41070643756982
Mac1,GRHL2,94,30,0.3191489361702128,41,49,0.5066351540123422,-0.4206210011708286
Mac1,GRHL3,27,7,0.25925925925925924,16,11,0.5072416108736999,-0.33909892585680873
Mac1,GSK3B,32,6,0.1875,21,10,0.5430050044828943,-0.5226173536423927
Mac1,HAND1,12,2,0.16666666666666666,4,6,0.9023420193819573,-0.46679752319713613
Mac1,HAND2,4845,1183,0.24416924664602682,2525,2143,0.46051741595007334,-0.4104031040272376
Mac1,HCFC1,5737,1587,0.27662541397943174,3102,2568,0.4149628533185501,-0.39187938604289413
Mac1,HDAC1,6379,1713,0.26853738830537704,3396,2879,0.4479056081091836,-0.41791353455696095
Mac1,HDAC2,9317,2382,0.2556616936782226,4859,4241,0.4638007295309063,-0.42417330603930814
Mac1,HDAC3,8308,2043,0.24590755897929706,4274,3681,0.46504920080436907,-0.4103361461309928
