gene,cellType,score,pval,log2foldchange,sig
ACIN1,Mac1,-0.19226755923078306,0.8475326282779911,0.3200635919337911,False
ADAD1,Mac1,0.0,1.0,0.0,False
ADAR,Mac1,-0.04534373267761551,0.963833329630264,0.4774767664794375,False
ADARB1,Mac1,-0.49987876620388044,0.6171604444711718,-0.8777173472471014,False
ADARB2,Mac1,-0.009044353052187327,0.9927837487192901,-0.032072913958519175,False
AFF2,Mac1,0.0,1.0,0.0,False
AGO1,Mac1,-0.6454609511735804,0.5186285156208064,0.5288506572876308,False
AKAP1,Mac1,0.20815146972596268,0.835110700130349,0.787264129868158,False
ALYREF,Mac1,-8.70669095016635,3.1287466514754646e-18,-0.4609574210777332,True
ANKRD17,Mac1,-1.5327457611854682,0.1253385092565505,0.2860808067399647,False
ANKS1,Mac1,2.090399554459234,0.036581922891020725,1.0344221167890195,False
AQR,Mac1,-3.642115939992755,0.0002704062289235153,-0.04274458641061507,False
ARGLU1,Mac1,-0.9563934247239333,0.3388735054415051,0.35306449907256976,False
ARL6IP4,Mac1,-4.613558267513066,3.958332278316998e-06,-0.007092030413392791,True
BCAS2,Mac1,-5.0917549798750334,3.54764370687951e-07,-0.07866179863106382,True
BCLAF1,Mac1,-2.038704134005342,0.041479564927393305,0.13952472901993662,False
BICC1,Mac1,0.02535045845125535,0.9797754268216452,0.4175303066574312,False
BOLL,Mac1,0.0,1.0,0.0,False
BUD13,Mac1,-1.6678950409746367,0.09533656428230802,0.09322059264115667,False
C1QBP,Mac1,-10.824580083923207,2.6328319273615024e-27,-0.6366600906224118,True
CACNA1E,Mac1,0.007956028411052753,0.9936520747344889,-0.3042220554573736,False
CARHSP1,Mac1,-0.9828322078163232,0.32569002735286534,0.3675336146634196,False
CASC3,Mac1,-1.014712614114386,0.31024283941366004,0.5496087799346778,False
CCAR1,Mac1,-4.0688705488431625,4.724158379665558e-05,0.057333620391636586,True
CCNL1,Mac1,-1.375632964285127,0.1689352956293786,0.05200958036415049,False
CD2BP2,Mac1,-5.291903510645066,1.210497576821819e-07,-0.41878355465768724,True
CDC5L,Mac1,-3.578064282018395,0.00034614832954246385,0.06528482367864274,False
CDK11B,Mac1,-4.868169940884705,1.126364516338561e-06,-0.12956355993498736,True
CDK12,Mac1,-1.3068433412782416,0.19126592200935288,0.4085883786394513,False
CDK13,Mac1,-2.222387063523727,0.026257158836034442,0.3680438109546964,False
CDKN2AIP,Mac1,-0.4785813788299539,0.6322364681570916,0.5286601767005545,False
CELF1,Mac1,-1.3291070858766239,0.18381264285820142,0.18329473652486694,False
CELF2,Mac1,0.8750880683440003,0.38152598868497645,0.1775413045986154,False
CELF3,Mac1,0.0,1.0,0.0,False
CELF4,Mac1,-1.97144379476143,0.048673135895253565,-0.22298774739920812,False
CELF5,Mac1,0.05509174390295019,0.9560653735680389,0.4644377700140463,False
CELF6,Mac1,-0.02713305915656198,0.978353607067084,-0.032473706580185564,False
CFAP20,Mac1,-4.438150358110894,9.073522881132743e-06,-0.17265048129798366,True
CHERP,Mac1,-2.50765946902664,0.01215337281139309,0.07399419620777792,False
CIR1,Mac1,-1.724403483332857,0.0846350291793474,0.33324227543053464,False
CIRBP,Mac1,-1.4743702791411637,0.14038192214614226,0.32950425122730387,False
CLASRP,Mac1,-1.8601719823143952,0.06286119765981185,0.09819148343339679,False
CLK2,Mac1,-2.1243064962959615,0.03364452286822792,0.003644029615864852,False
CLK3,Mac1,-3.5992490840846183,0.0003191373972742052,0.011940116919073596,False
CLK4,Mac1,-2.0519516718784625,0.040174359395594064,0.229698781854613,False
CLNS1A,Mac1,-7.639973306001886,2.172667807543614e-14,-0.5629140396943244,True
CLP1,Mac1,-1.0574199741699428,0.2903199595504158,0.33552432293458434,False
CNBP,Mac1,-5.736502890766491,9.665140105776322e-09,-0.24889449260569219,True
CNOT4,Mac1,-3.4823104778165033,0.0004971069623971448,0.018792033099678918,False
