key,cellType,clusterId,score
ND,NK cells,7,0.7603053367611229
ND,B cells,6,0.75017787813295
ND,T cells,13,0.5919055470048206
ND,Dendritic cells,8,0.584940151486204
ND,Monocytes,17,0.5475170420587264
ND,Dendritic cells,14,0.5454404335015481
ND,Monocytes,5,0.542010798006567
ND,Stromal cells,12,0.5415312989495232
ND,Macrophages,1,0.5384278442379486
ND,Macrophages,3,0.5374980450513703
ND,B cells,4,0.5374113594573066
ND,Monocytes,10,0.5360392414641388
ND,T cells,9,0.5124937221682245
ND,Dendritic cells,18,0.5106857437817702
ND,B cells,2,0.5044486241324078
ND,Macrophages,11,0.5023921858094043
ND,Dendritic cells,16,0.5004359699401129
ND,Macrophages,15,0.49397299045660414
HFD8,NK cells,3,0.8357379678428429
HFD8,B cells,9,0.7535668873349289
HFD8,T cells,2,0.7235210836794098
HFD8,T cells,18,0.6516039273355337
HFD8,Monocytes,5,0.6189423956496066
HFD8,Dendritic cells,1,0.5931489825808872
HFD8,T cells,20,0.5872545735777699
HFD8,Macrophages,8,0.5861731965232562
HFD8,Dendritic cells,16,0.5782638668443633
HFD8,T cells,15,0.5626808709603955
HFD8,Macrophages,12,0.5623635952103011
HFD8,Stromal cells,23,0.5495347888480263
HFD8,Macrophages,10,0.5441614487803097
HFD8,Stromal cells,21,0.5409316656323171
HFD8,Monocytes,13,0.5384614100250593
HFD8,Macrophages,14,0.5271409983408901
HFD8,T cells,7,0.5199316003205345
HFD8,Macrophages,6,0.5169566586154697
HFD8,Dendritic cells,19,0.5165040047041989
HFD8,Monocytes,24,0.5158980471025042
HFD8,Dendritic cells,17,0.5158263653176448
HFD8,Macrophages,11,0.5121228994269448
HFD8,Monocytes,25,0.5098872388767225
HFD8,Macrophages,4,0.4998251557014456
HFD8,Macrophages,22,0.4562868531529402
HFD14,T cells,11,0.7891739815486651
HFD14,NK cells,14,0.782553286442957
HFD14,B cells,13,0.7588879700341582
HFD14,B cells,20,0.6627675041776637
HFD14,Monocytes,4,0.6226632334997169
HFD14,Dendritic cells,8,0.6160350067000141
HFD14,Dendritic cells,17,0.557977936512491
HFD14,Stromal cells,18,0.5466306521888361
HFD14,Dendritic cells,16,0.5392149392518045
HFD14,Macrophages,9,0.5390285335396863
HFD14,Dendritic cells,12,0.529750798072162
HFD14,Macrophages,6,0.5282001700078904
HFD14,Macrophages,15,0.5166575978908897
HFD14,Macrophages,2,0.49911015340007353
HFD14,Macrophages,1,0.48676757193662784
HFD14,Macrophages,3,0.4797313415682987
HFD14,Monocytes,7,0.47691773552384237
HFD14,Monocytes,19,0.47181120549274824
HFD14,Macrophages,10,0.4704515343892956
HFD14,Macrophages,5,0.4261982903266122
