key,nPCA,nn,resolution,silhouetteScore,varianceRatioCriterion,DaviesBouldin
ND,10,5,0.1,0.26738754,377.78688622066096,3.473238748354019
ND,10,5,0.2,0.28638732,457.1452025065177,3.7333866811346783
ND,10,5,0.30000000000000004,0.23743421,438.1207491620997,4.028490184759029
ND,10,5,0.4,0.20456782,346.60953073409934,5.967453966392524
ND,10,5,0.5,0.18552668,330.02635681834283,4.558168753396491
ND,10,5,0.6,0.19794123,399.55732309554946,2.6155988016049085
ND,10,5,0.7000000000000001,0.18741143,372.5489991388658,2.6052558687676917
ND,10,5,0.8,0.1431849,352.2791173768458,2.0149462957172757
ND,10,5,0.9,0.1458249,347.02270359453587,2.28572343192214
ND,10,5,1.0,0.092370324,252.87979548321894,3.5851485012633697
ND,17,5,0.1,0.21254435,410.2623977729982,2.3192168879567006
ND,17,5,0.2,0.30970207,386.4036255095918,4.56087325460082
ND,17,5,0.30000000000000004,0.3171591,503.6444812060617,3.684952947224384
ND,17,5,0.4,0.25875667,407.88756399801883,4.273578813636766
ND,17,5,0.5,0.25775874,388.16525845232457,2.9241673965751818
ND,17,5,0.6,0.25010657,364.2598341814588,2.6364803340078957
ND,17,5,0.7000000000000001,0.27846724,519.1733634641578,1.5714453675385442
ND,17,5,0.8,0.26838982,523.1921148774863,1.810160813968803
ND,17,5,0.9,0.2636963,479.04416033254176,1.6078484928076906
ND,17,5,1.0,0.24919793,468.30814375483226,1.7023960668522669
ND,25,5,0.1,0.31812233,737.4644211672313,1.1173864069499058
ND,25,5,0.2,0.3349504,698.8025364351373,1.7939672901048678
ND,25,5,0.30000000000000004,0.34176823,802.3643403738054,1.450996496344453
ND,25,5,0.4,0.33029324,776.9020891544878,1.3247757792904713
ND,25,5,0.5,0.36044472,967.8208970527138,1.4510986847769518
ND,25,5,0.6,0.3483644,728.5131289314803,1.3450881194448305
ND,25,5,0.7000000000000001,0.34969586,732.4648309574844,1.591157380659417
ND,25,5,0.8,0.3561951,826.9068923669082,1.6462217038256128
ND,25,5,0.9,0.36148,829.5742115681625,1.594303564159832
ND,25,5,1.0,0.32086098,664.1909809150491,1.8380304985535079
ND,33,5,0.1,0.34360743,667.1126304908802,1.4175751788541007
ND,33,5,0.2,0.36142832,778.0399436608042,1.7003215207689344
ND,33,5,0.30000000000000004,0.39230505,1051.0403201528131,1.5279982548645326
ND,33,5,0.4,0.38041767,1021.9331558446047,1.4557625860900738
ND,33,5,0.5,0.38446254,995.4520569985942,1.4287051258525558
ND,33,5,0.6,0.3471125,986.880796414308,1.3056431954079377
ND,33,5,0.7000000000000001,0.36015582,1020.3110992308137,1.2367674313718477
ND,33,5,0.8,0.37933034,1031.3931626067588,1.3659290783000824
ND,33,5,0.9,0.3698138,993.4624307322905,1.3937624900609853
ND,33,5,1.0,0.35019568,929.9270532459082,1.5166480093977712
ND,41,5,0.1,0.31463698,801.1132627093116,0.7026136612315438
ND,41,5,0.2,0.3246591,451.14810959421237,2.9208259709967104
ND,41,5,0.30000000000000004,0.3235629,633.7905902339046,1.4961465150473925
ND,41,5,0.4,0.37493283,913.467244300129,0.7061258994756738
ND,41,5,0.5,0.32529917,628.5578116734339,1.9718229052814493
ND,41,5,0.6,0.38276953,830.1742438257309,0.6915739135701932
ND,41,5,0.7000000000000001,0.40837562,1262.7416015585923,0.7210623072773853
ND,41,5,0.8,0.3906507,1010.1245431772144,0.6761688364405196
ND,41,5,0.9,0.3935867,993.1425432860757,0.7741981170098436
ND,41,5,1.0,0.36712283,743.8518330447175,1.0509209704698093
ND,48,5,0.1,0.34277993,595.0236243821404,0.8577130152468109
ND,48,5,0.2,0.24619636,320.76917311128705,1.864470672772019
ND,48,5,0.30000000000000004,0.34647518,655.9759356076906,2.0990165728873547
ND,48,5,0.4,0.34862638,580.7212882697074,1.5839023377194819
ND,48,5,0.5,0.35818678,608.5135162408678,1.3585711711608799
ND,48,5,0.6,0.35034892,564.6085818659019,1.322420857638024
ND,48,5,0.7000000000000001,0.3509018,559.7634913691351,1.293534437323064
ND,48,5,0.8,0.34879214,557.1791995346949,1.3047989207955926
ND,48,5,0.9,0.35766184,625.516719105455,1.4176830186947127
ND,48,5,1.0,0.38502443,1073.1465404049075,0.878490735921082
ND,56,5,0.1,0.2323166,499.6322524318469,1.1199590491652702
ND,56,5,0.2,0.31541824,658.6155193956354,1.9361616017949546
ND,56,5,0.30000000000000004,0.2851602,443.5144528391186,1.6498925398769884
ND,56,5,0.4,0.25507832,385.76318999874184,1.6402666394259895
ND,56,5,0.5,0.26223722,438.95264095028307,1.6560435957930695
ND,56,5,0.6,0.25057298,378.8259657533962,1.9387848283533113
ND,56,5,0.7000000000000001,0.31439137,692.4551058963618,1.1692422834892335
ND,56,5,0.8,0.32763845,683.2512417130275,1.1467909818807038
ND,56,5,0.9,0.33938575,778.9266591599643,1.1792130795236295
ND,56,5,1.0,0.3215625,670.378915530295,1.1898473927370257
ND,64,5,0.1,0.24198145,373.03277200431336,1.0885992842981944
ND,64,5,0.2,0.26305872,512.8938377587559,1.689569299673369
ND,64,5,0.30000000000000004,0.28724292,440.0853902793733,1.6754579403130694
ND,64,5,0.4,0.28724292,440.0853902793733,1.6754579403130694
ND,64,5,0.5,0.30694696,514.088190838331,1.7371122128484502
ND,64,5,0.6,0.29975194,504.2188773961611,1.222638745215706
ND,64,5,0.7000000000000001,0.3049381,588.8823817851718,1.1738871816436642
ND,64,5,0.8,0.29232496,543.1720033903691,1.3755928778870445
ND,64,5,0.9,0.29778087,560.9019836032348,1.2955048028009826
ND,64,5,1.0,0.30758622,535.6311447059792,1.4778930520021845
ND,72,5,0.1,0.26507756,663.9021346534074,0.8388652758948231
ND,72,5,0.2,0.3179453,566.5614237292388,1.1585517995546761
ND,72,5,0.30000000000000004,0.24324058,413.32458839705487,1.3955932907293813
ND,72,5,0.4,0.27797124,405.31360487762646,1.6730659678623894
ND,72,5,0.5,0.3180776,637.7702013085657,1.1357710126201068
ND,72,5,0.6,0.3191071,649.600359651812,1.0926199058616328
ND,72,5,0.7000000000000001,0.26182833,525.9771871312854,1.2462694092736313
ND,72,5,0.8,0.275621,490.2795432682247,1.3142150911379609
ND,72,5,0.9,0.2841018,477.7734729789653,1.5187963289744346
ND,72,5,1.0,0.30578947,520.1678336958113,1.3845723309036657
ND,80,5,0.1,0.20895284,469.50511193638226,1.1234801636186802
ND,80,5,0.2,0.15026522,389.6090095265353,0.9164282639533542
ND,80,5,0.30000000000000004,0.2102465,442.83710643641706,1.310642251096143
ND,80,5,0.4,0.31230247,746.4984639558652,0.8408690939433912
ND,80,5,0.5,0.3107294,561.2752953875001,1.2576705951159137
ND,80,5,0.6,0.25911105,380.42484380255337,2.057315479087364
ND,80,5,0.7000000000000001,0.31165317,561.1007601430324,1.128724651602849
ND,80,5,0.8,0.3004146,540.7652179738366,1.2389341653194983
ND,80,5,0.9,0.3079968,580.0262854542788,1.2457105375847384
ND,80,5,1.0,0.31158188,570.228849774908,1.2608344784160233
ND,10,12,0.1,0.2215689,596.4167702468059,1.087825220901189
ND,10,12,0.2,0.34628934,846.2302490130523,1.845011870345044
ND,10,12,0.30000000000000004,0.33826467,638.0118637885489,2.940138542558765
ND,10,12,0.4,0.31039038,569.295960150948,2.906704059124603
ND,10,12,0.5,0.30114833,655.9104832678746,2.2691304771024012
ND,10,12,0.6,0.29940197,666.9610482760515,2.184205884284988
ND,10,12,0.7000000000000001,0.291419,642.1710747769415,2.481467886500835
ND,10,12,0.8,0.2908692,651.5006229591486,2.620096574169307
ND,10,12,0.9,0.2589042,608.6980511654544,2.673510938192026
ND,10,12,1.0,0.24985257,578.638785051942,2.5890276832877523
ND,17,12,0.1,0.34177175,913.2873782683104,0.8398951918469323
ND,17,12,0.2,0.344355,875.9730833964271,0.8374012075198152
ND,17,12,0.30000000000000004,0.33560967,648.3913508292842,2.0855589451676044
ND,17,12,0.4,0.345492,936.837240782968,1.565042836342961
ND,17,12,0.5,0.38178474,1076.9488594406516,1.5385517462061071
ND,17,12,0.6,0.38178474,1076.9488594406516,1.5385517462061071
ND,17,12,0.7000000000000001,0.38293862,1076.679521405879,1.5239208552916175
ND,17,12,0.8,0.38522577,963.2773295241709,1.3053843537838752
ND,17,12,0.9,0.3767912,866.180665464951,1.3124225219054622
ND,17,12,1.0,0.3815734,1017.3371983744423,1.4682591259987112
ND,25,12,0.1,0.26940104,682.3476131156708,0.7667557757730779
ND,25,12,0.2,0.3579044,927.1881949617916,2.1988123450652983
ND,25,12,0.30000000000000004,0.36243528,968.2833677546427,1.7107283560602922
ND,25,12,0.4,0.40247786,1007.8664021332207,1.574721239206858
ND,25,12,0.5,0.42367885,1300.5684483103828,1.6618972795645903
ND,25,12,0.6,0.40402067,1083.7154671414007,1.5872765485145393
ND,25,12,0.7000000000000001,0.3704945,991.5126056833091,1.3568741523017553
ND,25,12,0.8,0.3715438,992.6645998950376,1.3496952555351684
ND,25,12,0.9,0.38304138,1028.6397626521791,1.4032008886171707
ND,25,12,1.0,0.40012747,1055.1854444184205,1.2883025347299155
ND,33,12,0.1,0.27666536,718.7514662816902,0.7540303928234096
ND,33,12,0.2,0.36637118,799.4359784832405,1.5273373953723868
ND,33,12,0.30000000000000004,0.39138758,1171.470402627786,1.5472333774842357
ND,33,12,0.4,0.4117406,1298.8375815478453,1.500412568009362
ND,33,12,0.5,0.43206996,1344.1387134653723,1.5006941482831007
ND,33,12,0.6,0.37579736,1001.8583123898431,1.3625159395167596
ND,33,12,0.7000000000000001,0.38868302,1227.6648088855825,1.3263231933469328
ND,33,12,0.8,0.38868302,1227.6648088855825,1.3263231933469328
ND,33,12,0.9,0.37713283,1050.1412948194356,1.3383443187199462
ND,33,12,1.0,0.38891587,1237.4724721507841,1.3275704536457207
ND,41,12,0.1,0.30788723,783.6089754563498,0.7384591040935243
ND,41,12,0.2,0.4195127,1178.8089320641727,0.6123655251574412
ND,41,12,0.30000000000000004,0.4040493,1056.5420857557067,0.6744273204184179
ND,41,12,0.4,0.38463163,861.8955216468456,0.9956372847202934
ND,41,12,0.5,0.38948265,869.7842159703426,0.9537953059284277
ND,41,12,0.6,0.38898432,1088.550479237217,0.6405709582129577
ND,41,12,0.7000000000000001,0.38432685,1086.2236988096347,0.6562420904340871
ND,41,12,0.8,0.3956352,1077.382309864302,0.6306873204251688
ND,41,12,0.9,0.3943596,1074.6929225587508,0.6425968812247491
ND,41,12,1.0,0.39430273,1074.6902004159322,0.6425219003855944
ND,48,12,0.1,0.31202978,785.6978151369723,0.7641249737957677
ND,48,12,0.2,0.38948968,985.3836182887111,0.6483279029401487
ND,48,12,0.30000000000000004,0.38035807,1045.6215799929246,0.625861555725156
ND,48,12,0.4,0.3666184,714.4365169696838,1.6785565119245562
ND,48,12,0.5,0.37934083,1033.5175191535977,0.6436495154056958
ND,48,12,0.6,0.38258418,1026.922521839373,0.6479551219552219
ND,48,12,0.7000000000000001,0.38040555,1011.6490870704168,0.6703790764789151
ND,48,12,0.8,0.37940672,1011.7661228719879,0.6747550870665339
ND,48,12,0.9,0.3882297,1034.1823366269875,0.6522583075455208
