gene_name,transcript_id,transcript_name,transcript_biotype,protein_id,exon_number
Atp5a1,ENSMUST00000026495,Atp5a1-201,protein_coding,ENSMUSP00000026495,12
Atp5a1,ENSMUST00000114748,Atp5a1-202,protein_coding,ENSMUSP00000110396,10
Atp5a1,ENSMUST00000135678,Atp5a1-204,nonsense_mediated_decay,ENSMUSP00000120436,4
Cpt1a,ENSMUST00000025835,Cpt1a-201,protein_coding,ENSMUSP00000025835,18
Cpt1a,ENSMUST00000237562,Cpt1a-205,protein_coding,ENSMUSP00000158480,4
Cpt1a,ENSMUST00000237938,Cpt1a-206,protein_coding,ENSMUSP00000158035,10
Cpt1a,ENSMUST00000238015,Cpt1a-207,protein_coding,ENSMUSP00000157988,6
Hk1,ENSMUST00000072357,Hk1-201,protein_coding,ENSMUSP00000072195,20
Hk1,ENSMUST00000099691,Hk1-202,protein_coding,ENSMUSP00000097282,18
Hk1,ENSMUST00000116238,Hk1-203,protein_coding,ENSMUSP00000111946,20
Hk1,ENSMUST00000130091,Hk1-204,protein_coding,ENSMUSP00000122791,3
Hk1,ENSMUST00000130422,Hk1-205,protein_coding,ENSMUSP00000118601,18
Hk1,ENSMUST00000132926,Hk1-206,protein_coding,ENSMUSP00000115218,3
Hk1,ENSMUST00000133429,Hk1-207,protein_coding,ENSMUSP00000123375,3
Hk1,ENSMUST00000134447,Hk1-208,protein_coding,ENSMUSP00000122717,3
Hk1,ENSMUST00000134877,Hk1-209,protein_coding,ENSMUSP00000121487,3
Hk1,ENSMUST00000135317,Hk1-210,protein_coding,ENSMUSP00000115426,3
Hk1,ENSMUST00000136548,Hk1-211,protein_coding,ENSMUSP00000122479,3
Hk1,ENSMUST00000139228,Hk1-212,protein_coding,ENSMUSP00000118166,6
Hk1,ENSMUST00000140383,Hk1-213,protein_coding,ENSMUSP00000114586,3
Hk1,ENSMUST00000143179,Hk1-215,protein_coding,ENSMUSP00000120151,3
Hk1,ENSMUST00000143236,Hk1-216,protein_coding,ENSMUSP00000115990,3
Hk1,ENSMUST00000149534,Hk1-217,protein_coding,ENSMUSP00000119812,4
Hk1,ENSMUST00000152761,Hk1-218,protein_coding,ENSMUSP00000117752,7
Hk1,ENSMUST00000154489,Hk1-219,protein_coding,ENSMUSP00000118576,3
Idh2,ENSMUST00000107384,Idh2-201,protein_coding,ENSMUSP00000103007,11
Idh2,ENSMUST00000125542,Idh2-202,nonsense_mediated_decay,ENSMUSP00000145852,4
Idh2,ENSMUST00000134328,Idh2-204,nonsense_mediated_decay,ENSMUSP00000118184,6
Idh2,ENSMUST00000206714,Idh2-207,protein_coding,ENSMUSP00000146084,4
Pkm,ENSMUST00000034834,Pkm-201,protein_coding,ENSMUSP00000034834,10
Pkm,ENSMUST00000163694,Pkm-202,protein_coding,ENSMUSP00000128770,10
Pkm,ENSMUST00000213930,Pkm-204,protein_coding,ENSMUSP00000150578,5
Pkm,ENSMUST00000215623,Pkm-206,protein_coding,ENSMUSP00000150901,4
Pkm,ENSMUST00000215660,Pkm-207,protein_coding,ENSMUSP00000149206,4
Pkm,ENSMUST00000216620,Pkm-208,protein_coding,ENSMUSP00000151199,1
Pkm,ENSMUST00000216857,Pkm-209,protein_coding,ENSMUSP00000150188,3
Pkm,ENSMUST00000217038,Pkm-210,protein_coding,ENSMUSP00000150509,4
Pkm,ENSMUST00000217353,Pkm-211,protein_coding,ENSMUSP00000149983,4
Slc20a1,ENSMUST00000028880,Slc20a1-201,protein_coding,ENSMUSP00000028880,10
Slc20a1,ENSMUST00000110315,Slc20a1-202,protein_coding,ENSMUSP00000105944,10
Slc20a1,ENSMUST00000148988,Slc20a1-208,protein_coding,ENSMUSP00000121074,1
Slc2a1,ENSMUST00000030398,Slc2a1-201,protein_coding,ENSMUSP00000030398,10
Slc2a1,ENSMUST00000134105,Slc2a1-202,protein_coding,ENSMUSP00000118641,4
Slc2a1,ENSMUST00000144329,Slc2a1-203,protein_coding,ENSMUSP00000134126,3
Slc2a1,ENSMUST00000174372,Slc2a1-204,nonsense_mediated_decay,ENSMUSP00000134714,5
Slc2a1,ENSMUST00000208090,Slc2a1-205,protein_coding,ENSMUSP00000146958,3
