gene_name,transcript_id,transcript_name,transcript_biotype,protein_id,exon_number
Mlx,ENSMUST00000017945,Mlx-201,protein_coding,ENSMUSP00000017945,8
Mlx,ENSMUST00000107302,Mlx-202,protein_coding,ENSMUSP00000102923,8
Mlx,ENSMUST00000107303,Mlx-203,protein_coding,ENSMUSP00000102924,7
Mlx,ENSMUST00000149597,Mlx-207,protein_coding,ENSMUSP00000121600,4
Mlxip,ENSMUST00000068237,Mlxip-201,protein_coding,ENSMUSP00000064943,17
Mlxip,ENSMUST00000111596,Mlxip-202,protein_coding,ENSMUSP00000107223,9
Mlxip,ENSMUST00000135961,Mlxip-203,nonsense_mediated_decay,ENSMUSP00000120510,7
Mlxipl,ENSMUST00000005507,Mlxipl-201,protein_coding,ENSMUSP00000005507,17
Mlxipl,ENSMUST00000123370,Mlxipl-202,protein_coding,ENSMUSP00000116358,5
Mlxipl,ENSMUST00000128691,Mlxipl-203,nonsense_mediated_decay,ENSMUSP00000121348,14
Mlxipl,ENSMUST00000129008,Mlxipl-204,nonsense_mediated_decay,ENSMUSP00000114933,10
Mlxipl,ENSMUST00000142385,Mlxipl-206,nonsense_mediated_decay,ENSMUSP00000144328,10
Mlxipl,ENSMUST00000153519,Mlxipl-207,nonsense_mediated_decay,ENSMUSP00000122198,14
Mlxipl,ENSMUST00000154840,Mlxipl-208,protein_coding,ENSMUSP00000121668,3
Mlxipl,ENSMUST00000201977,Mlxipl-209,protein_coding,ENSMUSP00000144299,6
Ppara,ENSMUST00000057979,Ppara-201,protein_coding,ENSMUSP00000059719,6
Ppara,ENSMUST00000109422,Ppara-202,protein_coding,ENSMUSP00000105049,6
Ppara,ENSMUST00000109423,Ppara-203,protein_coding,ENSMUSP00000105050,6
Ppard,ENSMUST00000002320,Ppard-201,protein_coding,ENSMUSP00000002320,6
Ppard,ENSMUST00000166744,Ppard-205,protein_coding,ENSMUSP00000156734,5
Ppard,ENSMUST00000169040,Ppard-206,protein_coding,ENSMUSP00000133077,5
Ppard,ENSMUST00000232879,Ppard-207,protein_coding,ENSMUSP00000156879,4
Pparg,ENSMUST00000000450,Pparg-201,protein_coding,ENSMUSP00000000450,7
Pparg,ENSMUST00000171644,Pparg-202,protein_coding,ENSMUSP00000131962,6
Pparg,ENSMUST00000203732,Pparg-204,protein_coding,ENSMUSP00000145525,6
Pparg,ENSMUST00000204305,Pparg-206,protein_coding,ENSMUSP00000145083,2
Pparg,ENSMUST00000205213,Pparg-207,protein_coding,ENSMUSP00000144975,4
Xbp1,ENSMUST00000063084,Xbp1-201,protein_coding,ENSMUSP00000054852,5
Xbp1,ENSMUST00000149159,Xbp1-203,protein_coding,ENSMUSP00000134088,3
Xbp1,ENSMUST00000149623,Xbp1-204,protein_coding,ENSMUSP00000135768,4
Xbp1,ENSMUST00000239150,Xbp1-205,protein_coding,ENSMUSP00000158915,6
